Fit Coefficient (RefSpec)	Fit Coefficient Error (RefSpec)	Shift (RefSpec)	Shift Error (RefSpec)	Squeeze (RefSpec)	Squeeze Error (RefSpec)	Quadratic Squeeze (RefSpec)	Quadratic Squeeze Error (RefSpec)	Cubic Squeeze (RefSpec)	Cubic Squeeze Error (RefSpec)	Fit Coefficient (RingSpec)	Fit Coefficient Error (RingSpec)	Shift (RingSpec)	Shift Error (RingSpec)	Squeeze (RingSpec)	Squeeze Error (RingSpec)	Quadratic Squeeze (RingSpec)	Quadratic Squeeze Error (RingSpec)	Cubic Squeeze (RingSpec)	Cubic Squeeze Error (RingSpec)	Fit Coefficient (Ring4)	Fit Coefficient Error (Ring4)	Shift (Ring4)	Shift Error (Ring4)	Squeeze (Ring4)	Squeeze Error (Ring4)	Quadratic Squeeze (Ring4)	Quadratic Squeeze Error (Ring4)	Cubic Squeeze (Ring4)	Cubic Squeeze Error (Ring4)	Fit Coefficient (SO2_Hermans_298_air_conv)	Fit Coefficient Error (SO2_Hermans_298_air_conv)	Shift (SO2_Hermans_298_air_conv)	Shift Error (SO2_Hermans_298_air_conv)	Squeeze (SO2_Hermans_298_air_conv)	Squeeze Error (SO2_Hermans_298_air_conv)	Quadratic Squeeze (SO2_Hermans_298_air_conv)	Quadratic Squeeze Error (SO2_Hermans_298_air_conv)	Cubic Squeeze (SO2_Hermans_298_air_conv)	Cubic Squeeze Error (SO2_Hermans_298_air_conv)	Fit Coefficient (o3_221K_air_burrows_1999_conv)	Fit Coefficient Error (o3_221K_air_burrows_1999_conv)	Shift (o3_221K_air_burrows_1999_conv)	Shift Error (o3_221K_air_burrows_1999_conv)	Squeeze (o3_221K_air_burrows_1999_conv)	Squeeze Error (o3_221K_air_burrows_1999_conv)	Quadratic Squeeze (o3_221K_air_burrows_1999_conv)	Quadratic Squeeze Error (o3_221K_air_burrows_1999_conv)	Cubic Squeeze (o3_221K_air_burrows_1999_conv)	Cubic Squeeze Error (o3_221K_air_burrows_1999_conv)	Chi Square	Delta	RMS	FitSteps	Poly. Coeff. 0	Poly. Coeff. Error 0	Poly. Coeff. 1	Poly. Coeff. Error 1	Poly. Coeff. 2	Poly. Coeff. Error 2	Poly. Coeff. 3	Poly. Coeff. Error 3	Add. Poly. Coeff. 0	Add. Poly. Coeff. Error 0	LambdaFactor	StartLambda	MinLambda	MaxLambda	Delta	NearlyZero	Author	Average	AzimuthAngle	Delta	DeltaRel	Deviation	Device	ElevationAngle	ExposureTime	FitHigh	FitLow	Gain	Latitude	LightPath	LightSource	Longitude	Marker	MathHigh	MathLow	Max	MaxChannel	Min	MinChannel	MultiChannelCounter	Name	NumScans	ObjectKey	OpticalDensity	OpticalDensityCenter	OpticalDensityLeft	OpticalDensityRight	Pressure	Remark	ScanGeometry	ScanMax	Site	StartDate	StartDateAndTime	StartTime	StopDate	StopDateAndTime	StopTime	TemperatureAmbient	TimeZoneOffset	UserParam1	UserParam2	UserParam3	UserParam4	UserParam5	UserParam6	UserParam7	UserParam8	Variance
-1	0	0.002149	0.00044061	0.99962	6.1817e-05	0	0	0	0	-1.2039e+25	1.0643e+24	0.002149	0.00044061	0.99962	6.1817e-05	0	0	0	0	1.2461e+24	1.603e+25	0.002149	0.00044061	0.99962	6.1817e-05	0	0	0	0	2.2759e+17	2.9878e+15	-0.099963	0.0032605	1.0028	0.00070633	0	0	0	0	2.2593e+18	3.9961e+16	-0.099963	0.0032605	1.0028	0.00070633	0	0	0	0	0.00015364	0.0065594	0.001059	24	-244.05	141.74	2.2852	1.3469	-0.007179	0.0042659	7.5557e-06	4.5034e-06	7772.5	2247.8	10	0.01	1e-20	1e+20	0.001	1e-25		5.3516e+06	184.9	8.958e+06	1.6739	2.2649e+06	Avantes	-4	219.21	306	170	0	37.766	0		15.016	0	2047	0	8.9646e+06	2047	6675.3	0	0	COVERT_,-4.0,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 116.924469930509 SZA: 52.3428241429921 LAZ: 101.423169982425 LAZ: 96.7086796573986 Date: 9/9/2013 07:56:42 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 7:56:42 AM	7:56:42 AM	9/9/2013	9/9/2013 7:59:45 AM	7:59:45 AM	0	00:00:00	Corrected	COVERT_							5.1299e+12
-1	0	0.0012701	0.00041773	0.99971	5.8497e-05	0	0	0	0	-1.1155e+25	1.0109e+24	0.0012701	0.00041773	0.99971	5.8497e-05	0	0	0	0	2.9492e+24	1.5099e+25	0.0012701	0.00041773	0.99971	5.8497e-05	0	0	0	0	2.3287e+17	2.83e+15	-0.099962	0.0031852	1.0021	0.00071399	0	0	0	0	1.9751e+18	3.7833e+16	-0.099962	0.0031852	1.0021	0.00071399	0	0	0	0	0.00013695	0.0058655	0.00099983	22	-270.07	132.4	2.529	1.2582	-0.0079389	0.0039852	8.3432e-06	4.2072e-06	7910.6	2182.3	10	0.01	1e-20	1e+20	0.001	1e-25		5.3706e+06	184.9	8.9831e+06	1.6726	2.2742e+06	Avantes	0.9	189.72	306	170	0	37.766	0		15.016	0	2047	0	8.9897e+06	2047	6580.3	0	0	COVERT_,0.9,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 117.626292337827 SZA: 51.7928833723744 LAZ: 101.878779240159 LAZ: 96.1277072200193 Date: 9/9/2013 07:59:50 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 7:59:50 AM	7:59:50 AM	9/9/2013	9/9/2013 8:02:30 AM	8:02:30 AM	0	00:00:00	Corrected	COVERT_							5.1719e+12
-1	0	0.0024499	0.0010088	0.99951	0.00013907	0	0	0	0	-1.6065e+25	2.1909e+24	0.0024499	0.0010088	0.99951	0.00013907	0	0	0	0	2.9111e+25	3.4419e+25	0.0024499	0.0010088	0.99951	0.00013907	0	0	0	0	7.5193e+17	8.4267e+15	-0.095762	0.0028141	0.99704	0.00076752	0	0	0	0	2.2297e+18	8.7593e+16	-0.095762	0.0028141	0.99704	0.00076752	0	0	0	0	0.00071556	0.015173	0.0022853	13	582.2	297.74	-5.5291	2.8304	0.017469	0.0089683	-1.8371e-05	9.4712e-06	-3439.3	4686.5	10	0.01	1e-20	1e+20	0.001	1e-25		5.4307e+06	184.9	8.9835e+06	1.6542	2.2581e+06	Avantes	5.9	196.76	306	170	0	37.766	0		15.016	0	2047	0	8.9897e+06	2047	6228.8	0	0	COVERT_,5.9,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 118.250301818097 SZA: 51.3131401429368 LAZ: 102.279256509257 LAZ: 95.6186275712 Date: 9/9/2013 08:02:35 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:02:35 AM	8:02:35 AM	9/9/2013	9/9/2013 8:05:19 AM	8:05:19 AM	0	00:00:00	Corrected	COVERT_							5.0989e+12
-1	0	0.0057985	0.0021167	0.99916	0.00028778	0	0	0	0	-1.768e+25	3.617e+24	0.0057985	0.0021167	0.99916	0.00028778	0	0	0	0	9.3994e+25	6.3711e+25	0.0057985	0.0021167	0.99916	0.00028778	0	0	0	0	1.8371e+18	2.3582e+16	-0.096991	0.0025001	0.99616	0.000731	0	0	0	0	2.4047e+18	1.8052e+17	-0.096991	0.0025001	0.99616	0.000731	0	0	0	0	0.0029813	0.033699	0.0046649	12	1595.1	550.1	-15.084	5.2359	0.047524	0.01661	-4.9889e-05	1.7563e-05	-10099	6124.4	10	0.01	1e-20	1e+20	0.001	1e-25		5.464e+06	184.9	8.9789e+06	1.6433	2.2914e+06	Avantes	10.8	208.67	306	170	0	37.766	0		15.016	0	2047	0	8.9858e+06	2047	6883.6	0	0	COVERT_,10.8,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 118.897451874861 SZA: 50.8246938635211 LAZ: 102.690097809374 LAZ: 95.0980268512497 Date: 9/9/2013 08:05:24 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:05:24 AM	8:05:24 AM	9/9/2013	9/9/2013 8:08:17 AM	8:08:17 AM	0	00:00:00	Corrected	COVERT_							5.2504e+12
-1	0	0.0078903	0.0026642	0.99868	0.00036513	0	0	0	0	-4.3975e+24	4.2844e+24	0.0078903	0.0026642	0.99868	0.00036513	0	0	0	0	-4.0955e+25	7.8853e+25	0.0078903	0.0026642	0.99868	0.00036513	0	0	0	0	2.4621e+18	3.2985e+16	-0.099994	0.0024474	0.99834	0.0007201	0	0	0	0	2.8415e+18	2.3461e+17	-0.099994	0.0024474	0.99834	0.0007201	0	0	0	0	0.0050647	0.043159	0.0060802	32	886.44	684.31	-8.2639	6.5169	0.02567	0.020685	-2.6575e-05	2.1884e-05	12396	6496.8	10	0.01	1e-20	1e+20	0.001	1e-25		5.4946e+06	184.9	8.983e+06	1.6349	2.3054e+06	Avantes	15.7	206.55	306	170	0	37.766	0		15.016	0	2047	0	8.9895e+06	2047	6556	0	0	COVERT_,15.7,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 119.584161033149 SZA: 50.3164101491873 LAZ: 103.121169450885 LAZ: 94.5537031967659 Date: 9/9/2013 08:08:21 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:08:21 AM	8:08:21 AM	9/9/2013	9/9/2013 8:11:13 AM	8:11:13 AM	0	00:00:00	Corrected	COVERT_							5.3148e+12
-1	0	0.0048603	0.0036593	0.99894	0.00050798	0	0	0	0	1.4512e+25	5.5383e+24	0.0048603	0.0036593	0.99894	0.00050798	0	0	0	0	-2.6328e+26	1.0727e+26	0.0048603	0.0036593	0.99894	0.00050798	0	0	0	0	3.3478e+18	4.9876e+16	-0.099956	0.0026174	0.99888	0.00077399	0	0	0	0	3.2773e+18	3.3891e+17	-0.099956	0.0026174	0.99888	0.00077399	0	0	0	0	0.010546	0.060808	0.0087738	34	-264.29	941.49	2.7781	8.9707	-0.0096159	0.028489	1.0981e-05	3.0156e-05	39155	6647.2	10	0.01	1e-20	1e+20	0.001	1e-25		5.4721e+06	184.9	8.9832e+06	1.6416	2.3228e+06	Avantes	20.7	194.25	306	170	0	37.766	0		15.016	0	2047	0	8.9893e+06	2047	6050.1	0	0	COVERT_,20.7,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 120.280245906969 SZA: 49.8116041879969 LAZ: 103.553115331669 LAZ: 94.0103543675278 Date: 9/9/2013 08:11:18 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:11:18 AM	8:11:18 AM	9/9/2013	9/9/2013 8:13:59 AM	8:13:59 AM	0	00:00:00	Corrected	COVERT_							5.3955e+12
-1	0	0.0068108	0.0025167	0.99889	0.00034602	0	0	0	0	3.5965e+24	4.4184e+24	0.0068108	0.0025167	0.99889	0.00034602	0	0	0	0	-1.0961e+26	7.8596e+25	0.0068108	0.0025167	0.99889	0.00034602	0	0	0	0	2.3186e+18	3.1929e+16	-0.099998	0.0025146	0.99819	0.00074318	0	0	0	0	2.3585e+18	2.2542e+17	-0.099998	0.0025146	0.99819	0.00074318	0	0	0	0	0.0046919	0.043573	0.0058521	18	388.93	665.16	-3.5197	6.3335	0.010604	0.0201	-1.0635e-05	2.1261e-05	22878	8207.9	10	0.01	1e-20	1e+20	0.001	1e-25		5.5299e+06	184.9	8.9645e+06	1.6211	2.2863e+06	Avantes	25.6	194.72	306	170	0	37.766	0		15.016	0	2047	0	8.9709e+06	2047	6358.8	0	0	COVERT_,25.6,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 120.941815044295 SZA: 49.3414400171837 LAZ: 103.959078022389 LAZ: 93.5016889411381 Date: 9/9/2013 08:14:04 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:14:04 AM	8:14:04 AM	9/9/2013	9/9/2013 8:16:45 AM	8:16:45 AM	0	00:00:00	Corrected	COVERT_							5.2271e+12
-1	0	0.0023545	0.0008759	0.9997	0.00012035	0	0	0	0	-3.7559e+24	2.0553e+24	0.0023545	0.0008759	0.9997	0.00012035	0	0	0	0	-2.7427e+25	3.0389e+25	0.0023545	0.0008759	0.9997	0.00012035	0	0	0	0	6.6436e+17	7.1246e+15	-0.099957	0.002931	0.99825	0.0008365	0	0	0	0	1.2618e+18	7.7327e+16	-0.099957	0.002931	0.99825	0.0008365	0	0	0	0	0.0005574	0.017144	0.0020171	21	185.62	248.98	-1.7031	2.3672	0.0052019	0.0075018	-5.2896e-06	7.9238e-06	6588.6	6206.1	10	0.01	1e-20	1e+20	0.001	1e-25		4.8001e+06	184.9	8.9907e+06	1.873	1.9761e+06	Avantes	30.6	200.5	306	170	0	37.766	0		15.016	0	2047	0	8.9969e+06	2047	6142.5	0	0	COVERT_,30.6,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 121.612062642527 SZA: 48.8745472367525 LAZ: 104.36593710762 LAZ: 92.9939383617027 Date: 9/9/2013 08:16:50 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:16:50 AM	8:16:50 AM	9/9/2013	9/9/2013 8:19:37 AM	8:19:37 AM	0	00:00:00	Corrected	COVERT_							3.9051e+12
-1	0	0.00085424	0.00036217	0.99991	4.999e-05	0	0	0	0	-4.2556e+24	8.8592e+23	0.00085424	0.00036217	0.99991	4.999e-05	0	0	0	0	-5.9999e+24	1.2452e+25	0.00085424	0.00036217	0.99991	4.999e-05	0	0	0	0	2.4546e+17	2.4108e+15	-0.095019	0.0031631	0.99764	0.00085627	0	0	0	0	7.6644e+17	3.2527e+16	-0.095019	0.0031631	0.99764	0.00085627	0	0	0	0	9.7386e-05	0.0062618	0.00084306	13	129.19	102.77	-1.206	0.9769	0.0037497	0.0030953	-3.8837e-06	3.2691e-06	213.19	3029.8	10	0.01	1e-20	1e+20	0.001	1e-25		4.6057e+06	184.9	8.9908e+06	1.9521	1.9102e+06	Avantes	35.5	202.74	306	170	0	37.766	0		15.016	0	2047	0	8.997e+06	2047	6281.5	0	0	COVERT_,35.5,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 122.315917289423 SZA: 48.3943447842417 LAZ: 104.788512939082 LAZ: 92.468830618334 Date: 9/9/2013 08:19:42 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:19:42 AM	8:19:42 AM	9/9/2013	9/9/2013 8:22:30 AM	8:22:30 AM	0	00:00:00	Corrected	COVERT_							3.6488e+12
-1	0	-0.00010703	0.00012258	0.99997	1.7163e-05	0	0	0	0	-3.6805e+24	3.1506e+23	-0.00010703	0.00012258	0.99997	1.7163e-05	0	0	0	0	1.1532e+25	4.3275e+24	-0.00010703	0.00012258	0.99997	1.7163e-05	0	0	0	0	1.7426e+16	7.7184e+14	-0.075849	0.0073275	1.0023	0.0013631	0	0	0	0	4.3269e+17	1.1431e+16	-0.075849	0.0073275	1.0023	0.0013631	0	0	0	0	1.2427e-05	0.001652	0.00030118	16	109.07	35.484	-1.0294	0.33735	0.0032367	0.0010691	-3.3903e-06	1.1292e-06	-2818.2	1166.6	10	0.01	1e-20	1e+20	0.001	1e-25		4.4825e+06	184.9	8.9899e+06	2.0055	1.8739e+06	Avantes	40.4	205.96	306	170	0	37.766	0		15.016	0	2047	0	8.9962e+06	2047	6290.6	0	0	COVERT_,40.4,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 123.033733891749 SZA: 47.9151344965302 LAZ: 105.214651646551 LAZ: 91.9417234917566 Date: 9/9/2013 08:22:35 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:22:35 AM	8:22:35 AM	9/9/2013	9/9/2013 8:25:26 AM	8:25:26 AM	0	00:00:00	Corrected	COVERT_							3.5117e+12
