Fit Coefficient (RefSpec)	Fit Coefficient Error (RefSpec)	Shift (RefSpec)	Shift Error (RefSpec)	Squeeze (RefSpec)	Squeeze Error (RefSpec)	Quadratic Squeeze (RefSpec)	Quadratic Squeeze Error (RefSpec)	Cubic Squeeze (RefSpec)	Cubic Squeeze Error (RefSpec)	Fit Coefficient (RingSpec)	Fit Coefficient Error (RingSpec)	Shift (RingSpec)	Shift Error (RingSpec)	Squeeze (RingSpec)	Squeeze Error (RingSpec)	Quadratic Squeeze (RingSpec)	Quadratic Squeeze Error (RingSpec)	Cubic Squeeze (RingSpec)	Cubic Squeeze Error (RingSpec)	Fit Coefficient (Ring4)	Fit Coefficient Error (Ring4)	Shift (Ring4)	Shift Error (Ring4)	Squeeze (Ring4)	Squeeze Error (Ring4)	Quadratic Squeeze (Ring4)	Quadratic Squeeze Error (Ring4)	Cubic Squeeze (Ring4)	Cubic Squeeze Error (Ring4)	Fit Coefficient (SO2_Hermans_298_air_conv)	Fit Coefficient Error (SO2_Hermans_298_air_conv)	Shift (SO2_Hermans_298_air_conv)	Shift Error (SO2_Hermans_298_air_conv)	Squeeze (SO2_Hermans_298_air_conv)	Squeeze Error (SO2_Hermans_298_air_conv)	Quadratic Squeeze (SO2_Hermans_298_air_conv)	Quadratic Squeeze Error (SO2_Hermans_298_air_conv)	Cubic Squeeze (SO2_Hermans_298_air_conv)	Cubic Squeeze Error (SO2_Hermans_298_air_conv)	Fit Coefficient (o3_221K_air_burrows_1999_conv)	Fit Coefficient Error (o3_221K_air_burrows_1999_conv)	Shift (o3_221K_air_burrows_1999_conv)	Shift Error (o3_221K_air_burrows_1999_conv)	Squeeze (o3_221K_air_burrows_1999_conv)	Squeeze Error (o3_221K_air_burrows_1999_conv)	Quadratic Squeeze (o3_221K_air_burrows_1999_conv)	Quadratic Squeeze Error (o3_221K_air_burrows_1999_conv)	Cubic Squeeze (o3_221K_air_burrows_1999_conv)	Cubic Squeeze Error (o3_221K_air_burrows_1999_conv)	Chi Square	Delta	RMS	FitSteps	Poly. Coeff. 0	Poly. Coeff. Error 0	Poly. Coeff. 1	Poly. Coeff. Error 1	Poly. Coeff. 2	Poly. Coeff. Error 2	Poly. Coeff. 3	Poly. Coeff. Error 3	Add. Poly. Coeff. 0	Add. Poly. Coeff. Error 0	LambdaFactor	StartLambda	MinLambda	MaxLambda	Delta	NearlyZero	Author	Average	AzimuthAngle	Delta	DeltaRel	Deviation	Device	ElevationAngle	ExposureTime	FitHigh	FitLow	Gain	Latitude	LightPath	LightSource	Longitude	Marker	MathHigh	MathLow	Max	MaxChannel	Min	MinChannel	MultiChannelCounter	Name	NumScans	ObjectKey	OpticalDensity	OpticalDensityCenter	OpticalDensityLeft	OpticalDensityRight	Pressure	Remark	ScanGeometry	ScanMax	Site	StartDate	StartDateAndTime	StartTime	StopDate	StopDateAndTime	StopTime	TemperatureAmbient	TimeZoneOffset	UserParam1	UserParam2	UserParam3	UserParam4	UserParam5	UserParam6	UserParam7	UserParam8	Variance
-1	0	-0.0014164	0.00016797	1.0001	3.1695e-05	0	0	0	0	-1.4126e+25	5.4984e+23	-0.0014164	0.00016797	1.0001	3.1695e-05	0	0	0	0	2.5133e+25	6.1226e+24	-0.0014164	0.00016797	1.0001	3.1695e-05	0	0	0	0	2.9178e+17	6.9949e+15	-0.073732	0.0030027	0.99693	0.00060021	0	0	0	0	1.9877e+18	1.7346e+16	-0.073732	0.0030027	0.99693	0.00060021	0	0	0	0	2.3272e-05	0.0023074	0.00041215	22	413.8	71.529	-3.9169	0.66735	0.012311	0.0020753	-1.2858e-05	2.1509e-06	-11035	3495.5	10	0.01	1e-20	1e+20	0.001	1e-25		5.3516e+06	184.9	8.958e+06	1.6739	2.2649e+06	Avantes	-4	219.21	388	252	0	37.766	0		15.016	0	2047	0	8.9646e+06	2047	6675.3	0	0	COVERT_,-4.0,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 116.924469930509 SZA: 52.3428241429921 LAZ: 101.423169982425 LAZ: 96.7086796573986 Date: 9/9/2013 07:56:42 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 7:56:42 AM	7:56:42 AM	9/9/2013	9/9/2013 7:59:45 AM	7:59:45 AM	0	00:00:00	Corrected	COVERT_							5.1299e+12
-1	0	-0.0013922	0.00015943	1.0001	3.0033e-05	0	0	0	0	-1.2706e+25	5.2519e+23	-0.0013922	0.00015943	1.0001	3.0033e-05	0	0	0	0	2.9311e+25	5.7936e+24	-0.0013922	0.00015943	1.0001	3.0033e-05	0	0	0	0	2.8626e+17	6.6385e+15	-0.082044	0.0031704	0.99893	0.00064557	0	0	0	0	1.7086e+18	1.642e+16	-0.082044	0.0031704	0.99893	0.00064557	0	0	0	0	2.1071e-05	0.0019853	0.00039218	22	295.91	67.9	-2.809	0.63353	0.0088407	0.0019702	-9.237e-06	2.0421e-06	-10361	3349.1	10	0.01	1e-20	1e+20	0.001	1e-25		5.3706e+06	184.9	8.9831e+06	1.6726	2.2742e+06	Avantes	0.9	189.72	388	252	0	37.766	0		15.016	0	2047	0	8.9897e+06	2047	6580.3	0	0	COVERT_,0.9,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 117.626292337827 SZA: 51.7928833723744 LAZ: 101.878779240159 LAZ: 96.1277072200193 Date: 9/9/2013 07:59:50 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 7:59:50 AM	7:59:50 AM	9/9/2013	9/9/2013 8:02:30 AM	8:02:30 AM	0	00:00:00	Corrected	COVERT_							5.1719e+12
-1	0	-0.0021639	0.00028807	1	5.3751e-05	0	0	0	0	-1.1643e+25	9.4439e+23	-0.0021639	0.00028807	1	5.3751e-05	0	0	0	0	4.7359e+25	1.0773e+25	-0.0021639	0.00028807	1	5.3751e-05	0	0	0	0	7.9273e+17	1.1754e+16	-0.098706	0.0033284	1.0008	0.00081599	0	0	0	0	1.7283e+18	2.9978e+16	-0.098706	0.0033284	1.0008	0.00081599	0	0	0	0	7.0704e-05	0.004008	0.00071839	22	940.74	123.14	-8.8285	1.149	0.027575	0.0035733	-2.8674e-05	3.7039e-06	-12084	6450.9	10	0.01	1e-20	1e+20	0.001	1e-25		5.4307e+06	184.9	8.9835e+06	1.6542	2.2581e+06	Avantes	5.9	196.76	388	252	0	37.766	0		15.016	0	2047	0	8.9897e+06	2047	6228.8	0	0	COVERT_,5.9,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 118.250301818097 SZA: 51.3131401429368 LAZ: 102.279256509257 LAZ: 95.6186275712 Date: 9/9/2013 08:02:35 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:02:35 AM	8:02:35 AM	9/9/2013	9/9/2013 8:05:19 AM	8:05:19 AM	0	00:00:00	Corrected	COVERT_							5.0989e+12
-1	0	-0.0028591	0.00066713	1.0001	0.00012199	0	0	0	0	-8.2253e+24	2.1277e+24	-0.0028591	0.00066713	1.0001	0.00012199	0	0	0	0	8.0961e+25	2.609e+25	-0.0028591	0.00066713	1.0001	0.00012199	0	0	0	0	2.006e+18	2.7158e+16	-0.099899	0.0039352	0.99903	0.0011458	0	0	0	0	1.3728e+18	6.9327e+16	-0.099899	0.0039352	0.99903	0.0011458	0	0	0	0	0.0003856	0.0087457	0.0016777	33	2572.2	286.14	-24.047	2.67	0.074896	0.008304	-7.7719e-05	8.6076e-06	-28363	14099	10	0.01	1e-20	1e+20	0.001	1e-25		5.464e+06	184.9	8.9789e+06	1.6433	2.2914e+06	Avantes	10.8	208.67	388	252	0	37.766	0		15.016	0	2047	0	8.9858e+06	2047	6883.6	0	0	COVERT_,10.8,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 118.897451874861 SZA: 50.8246938635211 LAZ: 102.690097809374 LAZ: 95.0980268512497 Date: 9/9/2013 08:05:24 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:05:24 AM	8:05:24 AM	9/9/2013	9/9/2013 8:08:17 AM	8:08:17 AM	0	00:00:00	Corrected	COVERT_							5.2504e+12
-1	0	-0.0036024	0.00088593	1.0002	0.00016069	0	0	0	0	-4.3555e+24	2.7545e+24	-0.0036024	0.00088593	1.0002	0.00016069	0	0	0	0	1.0561e+26	3.5265e+25	-0.0036024	0.00088593	1.0002	0.00016069	0	0	0	0	2.744e+18	3.7209e+16	-0.099855	0.0040358	0.99846	0.0012177	0	0	0	0	1.1251e+18	9.1886e+16	-0.099855	0.0040358	0.99846	0.0012177	0	0	0	0	0.00068566	0.012077	0.0022371	33	3700.1	376.59	-34.574	3.5142	0.10765	0.01093	-0.00011169	1.1329e-05	-30405	18376	10	0.01	1e-20	1e+20	0.001	1e-25		5.4946e+06	184.9	8.983e+06	1.6349	2.3054e+06	Avantes	15.7	206.55	388	252	0	37.766	0		15.016	0	2047	0	8.9895e+06	2047	6556	0	0	COVERT_,15.7,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 119.584161033149 SZA: 50.3164101491873 LAZ: 103.121169450885 LAZ: 94.5537031967659 Date: 9/9/2013 08:08:21 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:08:21 AM	8:08:21 AM	9/9/2013	9/9/2013 8:11:13 AM	8:11:13 AM	0	00:00:00	Corrected	COVERT_							5.3148e+12
-1	0	-0.0044056	0.0012084	1.0003	0.00021728	0	0	0	0	1.9495e+23	3.5686e+24	-0.0044056	0.0012084	1.0003	0.00021728	0	0	0	0	1.4893e+26	4.8886e+25	-0.0044056	0.0012084	1.0003	0.00021728	0	0	0	0	3.7917e+18	5.4401e+16	-0.099561	0.0041536	0.99795	0.001285	0	0	0	0	7.573e+17	1.2471e+17	-0.099561	0.0041536	0.99795	0.001285	0	0	0	0	0.0012825	0.015741	0.0030596	36	5276.2	504.97	-49.276	4.7126	0.15336	0.014658	-0.00015905	1.5195e-05	-36418	22201	10	0.01	1e-20	1e+20	0.001	1e-25		5.4721e+06	184.9	8.9832e+06	1.6416	2.3228e+06	Avantes	20.7	194.25	388	252	0	37.766	0		15.016	0	2047	0	8.9893e+06	2047	6050.1	0	0	COVERT_,20.7,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 120.280245906969 SZA: 49.8116041879969 LAZ: 103.553115331669 LAZ: 94.0103543675278 Date: 9/9/2013 08:11:18 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:11:18 AM	8:11:18 AM	9/9/2013	9/9/2013 8:13:59 AM	8:13:59 AM	0	00:00:00	Corrected	COVERT_							5.3955e+12
-1	0	-0.0028459	0.00083743	1.0002	0.00015186	0	0	0	0	-2.2512e+23	2.6912e+24	-0.0028459	0.00083743	1.0002	0.00015186	0	0	0	0	7.8388e+25	3.326e+25	-0.0028459	0.00083743	1.0002	0.00015186	0	0	0	0	2.6441e+18	3.5285e+16	-0.099934	0.0040952	0.99803	0.0012553	0	0	0	0	7.4951e+17	8.7486e+16	-0.099934	0.0040952	0.99803	0.0012553	0	0	0	0	0.00062547	0.011373	0.0021367	33	3549.1	357.43	-33.154	3.3357	0.10321	0.010376	-0.00010707	1.0756e-05	-21016	20031	10	0.01	1e-20	1e+20	0.001	1e-25		5.5299e+06	184.9	8.9645e+06	1.6211	2.2863e+06	Avantes	25.6	194.72	388	252	0	37.766	0		15.016	0	2047	0	8.9709e+06	2047	6358.8	0	0	COVERT_,25.6,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 120.941815044295 SZA: 49.3414400171837 LAZ: 103.959078022389 LAZ: 93.5016889411381 Date: 9/9/2013 08:14:04 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:14:04 AM	8:14:04 AM	9/9/2013	9/9/2013 8:16:45 AM	8:16:45 AM	0	00:00:00	Corrected	COVERT_							5.2271e+12
-1	0	-0.00078691	0.00028045	1.0001	5.1956e-05	0	0	0	0	-4.0805e+24	9.6463e+23	-0.00078691	0.00028045	1.0001	5.1956e-05	0	0	0	0	2.2848e+25	1.0255e+25	-0.00078691	0.00028045	1.0001	5.1956e-05	0	0	0	0	7.8735e+17	1.1727e+16	-0.099815	0.004009	0.99988	0.0011132	0	0	0	0	8.2606e+17	2.9497e+16	-0.099815	0.004009	0.99988	0.0011132	0	0	0	0	7.0225e-05	0.0043723	0.00071594	34	1111.6	120.3	-10.388	1.1228	0.032348	0.0034931	-3.3566e-05	3.622e-06	-5242.8	8170.1	10	0.01	1e-20	1e+20	0.001	1e-25		4.8001e+06	184.9	8.9907e+06	1.873	1.9761e+06	Avantes	30.6	200.5	388	252	0	37.766	0		15.016	0	2047	0	8.9969e+06	2047	6142.5	0	0	COVERT_,30.6,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 121.612062642527 SZA: 48.8745472367525 LAZ: 104.36593710762 LAZ: 92.9939383617027 Date: 9/9/2013 08:16:50 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:16:50 AM	8:16:50 AM	9/9/2013	9/9/2013 8:19:37 AM	8:19:37 AM	0	00:00:00	Corrected	COVERT_							3.9051e+12
-1	0	-0.00024748	0.00012045	1	2.2589e-05	0	0	0	0	-3.8113e+24	4.1715e+23	-0.00024748	0.00012045	1	2.2589e-05	0	0	0	0	6.1788e+24	4.2492e+24	-0.00024748	0.00012045	1	2.2589e-05	0	0	0	0	2.8488e+17	5.1619e+15	-0.097146	0.0039352	1.0013	0.00096227	0	0	0	0	6.3035e+17	1.262e+16	-0.097146	0.0039352	1.0013	0.00096227	0	0	0	0	1.2894e-05	0.001734	0.00030678	20	404.96	51.266	-3.7885	0.47853	0.011809	0.0014888	-1.2265e-05	1.5438e-06	-1857.6	3663.4	10	0.01	1e-20	1e+20	0.001	1e-25		4.6057e+06	184.9	8.9908e+06	1.9521	1.9102e+06	Avantes	35.5	202.74	388	252	0	37.766	0		15.016	0	2047	0	8.997e+06	2047	6281.5	0	0	COVERT_,35.5,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 122.315917289423 SZA: 48.3943447842417 LAZ: 104.788512939082 LAZ: 92.468830618334 Date: 9/9/2013 08:19:42 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:19:42 AM	8:19:42 AM	9/9/2013	9/9/2013 8:22:30 AM	8:22:30 AM	0	00:00:00	Corrected	COVERT_							3.6488e+12
-1	0	-0.00046695	8.0875e-05	1	1.5331e-05	0	0	0	0	-2.7686e+24	2.7915e+23	-0.00046695	8.0875e-05	1	1.5331e-05	0	0	0	0	-5.7611e+24	2.7485e+24	-0.00046695	8.0875e-05	1	1.5331e-05	0	0	0	0	2.5554e+16	3.5403e+15	-0.059801	0.0086137	0.99916	0.0015789	0	0	0	0	4.3262e+17	8.3296e+15	-0.059801	0.0086137	0.99916	0.0015789	0	0	0	0	5.6227e-06	0.0010166	0.00020259	14	36.303	34.233	-0.34239	0.31953	0.0010756	0.00099408	-1.1258e-06	1.0308e-06	3217.2	2517.5	10	0.01	1e-20	1e+20	0.001	1e-25		4.4825e+06	184.9	8.9899e+06	2.0055	1.8739e+06	Avantes	40.4	205.96	388	252	0	37.766	0		15.016	0	2047	0	8.9962e+06	2047	6290.6	0	0	COVERT_,40.4,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 123.033733891749 SZA: 47.9151344965302 LAZ: 105.214651646551 LAZ: 91.9417234917566 Date: 9/9/2013 08:22:35 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:22:35 AM	8:22:35 AM	9/9/2013	9/9/2013 8:25:26 AM	8:25:26 AM	0	00:00:00	Corrected	COVERT_							3.5117e+12
